name,address,plate
麺庭つむぎ,〒192-0046 東京都八王子市明神町3-24-12,
肉そば 鶏中華 最上川,東京都港区新橋1-16-8,
支那そば びぜん亭,〒102-0071 東京都千代田区富士見1-7-10,
ラーメン王 後楽本舗,〒150-0043 東京都渋谷区道玄坂2-7-4,
ラーメンめじ,〒182-0002 東京都調布市仙川町1-21-24,
上を向いていこう,〒205-0013 東京都羽村市富士見平2-22-9,
らぁ麺屋 つなぎ,〒150-0013 東京都渋谷区恵比寿1-4-1,
らーめんぶたまろ,〒144-0035 東京都大田区南蒲田2-6-5 佐藤マンション,
麺でる 田園調布本店,〒145-0071 東京都大田区田園調布1-21-2,
Noodle Stand Tokyo,〒150-0001 東京都渋谷区神宮前1-23-26 神宮前comichi2F,
麺場なっくる,〒185-0034 東京都国分寺市光町1-37-18,
ラーメン二郎 めじろ台店,〒193-0942 東京都八王子市椚田町513-9,休業中
中華そば 春夏◯冬,〒144-0052 東京都大田区蒲田5-19-5,
立川マシマシ秘密工場,〒198-0036 東京都青梅市河辺町9-5-5,閉店
麺絆や 519,〒136-0071 東京都江東区亀戸2-14-6,
高尾タンメン イタダキ,〒193-0831 東京都八王子市並木町12-8,閉店
鯛塩そば 灯花 代々木駅前店,〒151-0053 東京都渋谷区代々木1-36-6 代々木駅前ビル 1F,
麺や 独歩 立川店,〒190-0023 東京都立川市柴崎町3-6-29 アレアレア2 3F,
博多一舞 瑞穂店,〒190-1212 東京都西多摩郡瑞穂町殿ケ谷824-18,閉店
神保町黒須,〒101-0051 東京都千代田区神田神保町3-1-19,
